Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Anthony Davis,30,76,2700,25.8,0.621,0.083,0.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,,7.2,4.7,11.8,0.21,,3.5,1.7,5.1,4.9
2,Austin Reaves,25,82,2629,15.5,0.613,0.447,0.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,,3.9,2.0,5.9,0.108,,0.9,-0.4,0.4,1.6
3,LeBron James,39,71,2504,23.7,0.63,0.286,0.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,,5.7,2.8,8.5,0.164,,5.5,0.9,6.5,5.4
4,D'Angelo Russell,27,76,2484,16.0,0.588,0.505,0.178,1.3,8.9,5.3,27.6,1.3,1.3,11.8,23.0,,3.3,1.8,5.1,0.099,,1.7,-0.8,0.9,1.8
5,Taurean Prince,29,78,2108,8.8,0.579,0.622,0.119,1.2,10.5,6.1,7.2,1.3,1.4,10.8,13.8,,0.3,1.7,1.9,0.043,,-2.6,-0.2,-2.8,-0.4
6,Rui Hachimura,25,68,1826,15.0,0.628,0.343,0.198,3.7,13.7,8.9,6.3,1.1,1.2,5.9,18.5,,2.7,1.5,4.1,0.108,,0.0,-0.9,-0.9,0.5
7,Cam Reddish,24,48,984,7.7,0.504,0.47,0.231,3.2,7.7,5.6,6.0,2.3,1.2,10.7,12.7,,-0.3,0.9,0.6,0.03,,-4.0,0.8,-3.2,-0.3
8,Max Christie,20,67,944,8.4,0.544,0.49,0.191,1.9,14.2,8.4,8.0,1.0,1.6,11.8,13.6,,-0.1,0.8,0.7,0.036,,-3.2,-0.4,-3.6,-0.4
9,Jaxson Hayes,23,70,877,14.0,0.718,0.046,0.469,9.2,17.1,13.4,5.0,1.8,2.9,16.9,12.5,,1.4,1.1,2.5,0.135,,-2.8,0.9,-1.9,0.0
10,Christian Wood,28,50,872,12.3,0.568,0.432,0.356,5.2,26.1,16.2,7.4,0.9,3.3,14.1,17.6,,0.0,1.1,1.2,0.064,,-2.6,-0.2,-2.8,-0.2
11,Spencer Dinwiddie,30,28,678,8.0,0.586,0.638,0.355,0.7,6.7,3.9,12.2,0.9,1.7,15.1,12.2,,0.3,0.4,0.7,0.052,,-3.2,-0.1,-3.2,-0.2
12,Jarred Vanderbilt,24,29,581,11.6,0.578,0.237,0.316,8.3,17.7,13.2,7.7,2.9,0.7,17.7,11.7,,0.3,0.8,1.1,0.089,,-2.9,1.3,-1.6,0.0
13,Gabe Vincent,27,11,218,3.1,0.341,0.571,0.041,2.1,2.4,2.3,11.6,2.0,0.0,9.1,10.9,,-0.3,0.1,-0.1,-0.033,,-6.9,0.4,-6.5,-0.2
14,Jalen Hood-Schifino,20,21,109,-1.5,0.316,0.333,0.444,2.1,10.7,6.6,9.1,1.3,1.6,14.3,24.9,,-0.6,0.1,-0.5,-0.222,,-12.4,-3.7,-16.1,-0.4
15,Maxwell Lewis,21,34,103,-3.9,0.246,0.429,0.143,2.3,2.1,2.2,6.8,0.9,0.8,30.9,13.6,,-0.5,0.0,-0.4,-0.195,,-10.3,-3.2,-13.5,-0.3
16,Skylar Mays,26,17,77,12.3,0.524,0.238,0.0,1.5,6.9,4.3,16.8,4.3,1.1,8.7,12.9,,0.0,0.1,0.1,0.092,,-3.5,2.9,-0.6,0.0
17,Colin Castleton,23,16,59,13.0,0.644,0.0,0.375,11.9,10.8,11.3,6.8,1.6,0.0,13.9,15.8,,0.1,0.0,0.2,0.128,,-3.9,-1.4,-5.2,0.0
18,D'Moi Hodge,25,7,41,6.1,0.441,0.8,0.133,0.0,0.0,0.0,15.6,1.2,2.1,5.9,17.8,,0.0,0.0,0.0,-0.019,,-3.7,-2.6,-6.3,0.0
19,Dylan Windler,27,8,28,15.9,0.667,0.889,0.0,0.0,11.3,6.0,28.2,0.0,0.0,0.0,13.9,,0.1,0.0,0.1,0.194,,3.8,-0.6,3.2,0.0
20,Harry Giles,25,7,19,-1.0,0.167,0.5,0.0,0.0,22.3,11.7,0.0,2.5,0.0,0.0,13.6,,-0.1,0.0,-0.1,-0.162,,-9.7,-3.2,-12.9,-0.1
21,Alex Fudge,20,4,14,-1.9,0.291,0.333,0.333,16.7,0.0,7.9,0.0,0.0,0.0,12.7,24.3,,-0.1,0.0,-0.1,-0.222,,-9.9,-8.3,-18.1,-0.1
